id,name,venue,date,scraper,match_reason,url
"8033a7c2-da66-4dfa-b517-a9e7558b86e9","Friday Cheers at the Grinnin' Bear Tavern","Grinnin' Bear Tavern","May 8, 2026","Macaroni Kid Lynchburg","drinks mention","https://lynchburg.macaronikid.com/events/69cee406421c0c3dfdb2aa2c/friday-cheers-at-the-grinnin-bear-tavern"
"6d1977c2-7683-4892-81b5-84023bd8682e","Park Circle - Odd Duck Birthday Bash!","Odd Duck","April 24, 2026","Macaroni Kid Summerville-North Charleston","wine event","https://northcharleston.macaronikid.com/events/69e7b9ee0728a2ac8b7e7024/park-circle-odd-duck-birthday-bash"
"851d25d4-9107-41a3-abe0-948419a9cabf","🐎 Hikes Point Chuck Wagon","Mercurio's Music & RestoBar","April 25, 2026","Macaroni Kid Louisville Central","pub mention","https://centrallouisville.macaronikid.com/events/69df6db6c687ecacaae3f875/-hikes-point-chuck-wagon"
"ebf770b7-05b1-46d7-82ed-36779b58ae83","Harry Potter Trivia Night","Bold Republic Brewing Company","April 29, 2026","Macaroni Kid Killeen","brewery mention","https://killeen.macaronikid.com/events/69e63cf54db70f88d25ffa5b/harry-potter-trivia-night"
"6767f533-f411-4f30-b5ff-4af5c3610072","Sunsets & Sips at Flinchbaugh’s Tulip Experience","Flinchbaugh's Orchard & Farm Market","April 24, 2026","Macaroni Kid Lancaster","brewery mention","https://lancaster.macaronikid.com/events/69c47698421c0c3dfd39cfd1/sunsets-and-sips-at-flinchbaugh%E2%80%99s-tulip-experience"
"EmX29p6tGD46CItgNtVo","Kitten Yoga","Market Street Brewery","April 26, 2026","MacaroniKid-MD","brewery mention","https://belairmd.macaronikid.com/events/69cf0dfbf34b9f1ce3714665/kitten-yoga"
"43EVAD8Yf1o1qgKExrke3kbmRmnuvD","CRABBY Trivia – The Area’s Best Trivia Night","Chesepiooc Real Ale Brewery","April 30, 2026","MacaroniKid-MD","brewery mention","https://bowie.macaronikid.com/events/69c42582421c0c3dfd3603cb/crabby-trivia-%E2%80%93-the-area%E2%80%99s-best-trivia-night"
"8c831f75-a0e2-4706-af8b-72ed34fc1331","Jefferson Valley Mall Carnival","Jefferson Valley Mall","April 25, 2026","Macaroni Kid Westchester Rivertowns","21+","https://westchester-rivertowns.macaronikid.com/events/69d1347e174ed66a7119824e/jefferson-valley-mall-carnival"
"8d2adeb2-4ebe-48a5-99ca-f5f4fdde6040","Market on Fifth - Apopka","Market On Fifth","April 24, 2026","Macaroni Kid Apopka-Mount Dora","cocktail mention","https://apopka.macaronikid.com/events/68af899f121b48c09eb834bd/market-on-fifth-apopka"
"f29bf5aa-68bb-4bb9-b473-3c0de50c356f","East Atlanta Village Farmers Market","East Atlanta Village Farmers Market","April 30, 2026","Macaroni Kid East Atlanta-Downtown Atlanta-Little 5 Points","pub mention","https://eastatlanta.macaronikid.com/events/6847543dc3c7e5f2f574b9c5/east-atlanta-village-farmers-market"
"884d3d25-f330-4ff8-8167-c9b4e7699f89","Family Night out at Alestone Brewing Co. - Longwood","Alestone Brewing Co.","May 6, 2026","Macaroni Kid Seminole County","beer event","https://seminolecounty.macaronikid.com/events/695f02f60fb7719731bedc50/family-night-out-at-alestone-brewing-co.-longwood"
"1bf7b094-3489-4f62-b7d8-9c5691abed06","🎈Spring Fling Street Fair - Westfield","Downtown Westfield","May 3, 2026","Macaroni Kid Clark-Cranford-Scotch Plains","beer event","https://clark.macaronikid.com/events/69b48ac8835c5f0a5a836e12/spring-fling-street-fair-westfield"
"ff60b50a-f82b-428f-838c-daa71ae84543","🥕Salado Farmers Market","Barrow Brewing Company","May 2, 2026","Macaroni Kid Killeen","brewery mention","https://killeen.macaronikid.com/events/69c021655fe83425fd8106d0/%F0%9F%A5%95salado-farmers-market"
"LZWAJisS_ToaJOKElfSA","First Friday Winter Haven","Downtown Winter Haven Historic District","May 1, 2026","Macaroni Kid Winter Haven-Davenport","drinks mention","https://winterhaven-davenport.macaronikid.com/events/69525d86538d78a1b8f7e8be/first-friday-winter-haven"
"fd10042d-cb42-46eb-b2ef-3005869c3920","Trivia Tuesdays | Multiple Locations in Arvada","Arvada Center","May 5, 2026","Macaroni Kid Arvada-Wheat Ridge-Golden","brewery mention","https://arvada.macaronikid.com/events/68730e2a576380733c6badda/trivia-tuesdays-%7C-multiple-locations-in-arvada"
"ea996c02-9999-4623-aee6-ffebdecca974","🛍️  Sloan's Lake Spring BAZAAR: A Market Made for Moms","Sloan's Lake","May 9, 2026","Macaroni Kid Downtown Denver","cocktail mention","https://downtowndenver.macaronikid.com/events/69a20214acfe7ef2d7b566bc/%F0%9F%9B%8D%EF%B8%8F--sloans-lake-spring-bazaar-a-market-made-for-moms"
"4a996a58-3440-414b-aa64-4210dbd6b11c","Annual Spring Art Bazaar at Walking Tree Brewery","Walking Tree Brewery","May 3, 2026","Macaroni Kid Vero Beach","brewery mention","https://verobeach.macaronikid.com/events/69dfcf1d2056d5c6a62bfadd/annual-spring-art-bazaar-at-walking-tree-brewery"
"94f40c36-97c2-42e5-9366-47644793d98a","Brunch @ Flying Heart Brewery","Flying Heart Brewery","May 3, 2026","Macaroni Kid Shreveport-Bossier","brewery mention","https://shreveport.macaronikid.com/events/6593887120b58753f0527b44/brunch--flying-heart-brewery"
"90mRRxhT8h8ztCsrzVWE","Black Orchid Trivia Night","Black Orchid Brewing","April 30, 2026","Macaroni Kid Modesto","trivia night","https://modesto.macaronikid.com/events/696bb2bcb4e92cc89507eb65/black-orchid-trivia-night"
"423e6205-61ea-46fc-b52e-3fc0a17be973","👟 Basking Ridge Self-Guided Walking Tour","Historical Society of the Somerset Hills","May 3, 2026","Macaroni Kid Warren-Bernards","dating","https://warren.macaronikid.com/events/69c87617cd22d2e7837e498e/-basking-ridge-self-guided-walking-tour"
"7aedbe5e-b84d-4f5e-a960-c9526eae98a3","The Studio Athens presents Shrek the Musical JR at Athens' Morton Theatre","The Morton Theatre","May 8, 2026","Macaroni Kid Athens","18+","https://athens.macaronikid.com/events/69d78fdb39044f5fda02a855/the-studio-athens-presents-shrek-the-musical-jr-at-athens-morton-theatre"
"8e9537fe-8bb8-4532-b2b8-984c460b409f","LEGO Club (Pittsfield)","Berkshire Athenaeum","May 5, 2026","Macaroni Kid Berkshires","18+","https://berkshires.macaronikid.com/events/6965d03e705fe7c87bc617f7/lego-club-(pittsfield)"
"61b781da-24d6-48ea-8142-250a8debdc7f","Barks & Brews","Strangeways Brewing","April 25, 2026","Macaroni Kid Fredericksburg-Spotsylvania-Stafford","brewery mention","https://fredericksburg.macaronikid.com/events/699f0594ab3c3e2b038f7bca/barks-and-brews"
"e7c7f0ec-fe24-4560-a861-d4a863cdacaa","🆓 SCFD FREE DAY | Colorado Railroad Museum","Colorado Railroad Museum","May 7, 2026","Macaroni Kid Downtown Denver","18+","https://downtowndenver.macaronikid.com/events/695749195dfb1bf11b101041/%F0%9F%86%93-scfd-free-day-%7C-colorado-railroad-museum"
"9f1210e1-1222-4ca6-b4ce-3381c9673f37","Country Music Festival","Allegria Hotel Rooftop","April 25, 2026","Macaroni Kid Long Beach-Oceanside-Rockville Centre","cocktail mention","https://longbeach.macaronikid.com/events/69e029fc697dde8909939c33/country-music-festival"
"5c95efa9-289e-4ca8-856b-3526ffb4977d","Pints at the Playground at Durham Central Park","The Glass Jug Downtown","April 29, 2026","Macaroni Kid Durham","cocktail mention","https://durham.macaronikid.com/events/696199f8705fe7c87ba95724/pints-at-the-playground-at-durham-central-park"
"62d077a2-d2d7-4351-a9b6-bbaba38e4cdd","Hudson Valley Gateway Chamber of Commerce Spring Festival and Car Show at the JV Mall","Jefferson Valley Mall","April 26, 2026","Macaroni Kid Westchester Rivertowns","beer event","https://westchester-rivertowns.macaronikid.com/events/69c53973421c0c3dfd3ed354/hudson-valley-gateway-chamber-of-commerce-spring-festival-and-car-show-at-the-jv-mall"
"7f6330fb-109c-451a-be6e-97917c8a1c4a","Jefferson Valley Mall Carnival","Jefferson Valley Mall","April 23, 2026","Macaroni Kid Westchester Rivertowns","21+","https://westchester-rivertowns.macaronikid.com/events/69d13441421c0c3dfdd1bddd/jefferson-valley-mall-carnival"
"3a785216-4add-4fba-875f-9cdd3ba85d7d","Creatures & Cocktails at The Music Hall","The Music Hall","May 6, 2026","Macaroni Kid Lynchburg","cocktail mention","https://lynchburg.macaronikid.com/events/695c852b815f9d397eec7f7b/creatures-and-cocktails-at-the-music-hall"
"8352063d-4877-4827-957b-5b11dc9b0846","Market on Fifth - Apopka","Market On Fifth","May 8, 2026","Macaroni Kid Apopka-Mount Dora","cocktail mention","https://apopka.macaronikid.com/events/68af899f121b48c09eb834bf/market-on-fifth-apopka"
"bf80ee1b-3b0c-4005-9f3a-093bc1ee5193","Mother's Day Artisan Market at Main Line Brewery","Main Line Brewery","May 3, 2026","Macaroni Kid Richmond","brewery mention","https://richmond.macaronikid.com/events/69a0d7a2c52cc661f48f28c7/mothers-day-artisan-market-at-main-line-brewery"
"ae3247ed-6cde-4abf-ba98-fe06cf323816","Matilda the Musical (Conyers)","Conyers First United Methodist Church","April 24, 2026","Macaroni Kid Stonecrest-Conyers-Covington","weed","https://conyers.macaronikid.com/events/69e615404db70f88d25dc62b/matilda-the-musical-(conyers)"
"08e2aa9a-7560-4cb0-8197-9d8a1676f940","Matilda the Musical (Conyers)","Conyers First United Methodist Church","April 26, 2026","Macaroni Kid Stonecrest-Conyers-Covington","weed","https://conyers.macaronikid.com/events/69e61572697dde8909d3302d/matilda-the-musical-(conyers)"
"89aa0b34-52bb-44fa-9f03-f2db4fd5998a","Matilda the Musical (Conyers)","Conyers First United Methodist Church","May 1, 2026","Macaroni Kid Stonecrest-Conyers-Covington","weed","https://conyers.macaronikid.com/events/69e61584697dde8909d3306b/matilda-the-musical-(conyers)"
"5d237170-9baf-4c93-9284-c0bdb7f6de2c","Matilda the Musical (Conyers)","Conyers First United Methodist Church","May 2, 2026","Macaroni Kid Stonecrest-Conyers-Covington","weed","https://conyers.macaronikid.com/events/69e61593697dde8909d3311d/matilda-the-musical-(conyers)"
